Year,Year Code,Country Name,Country Code,"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]",Population growth (annual %) [SP.POP.GROW],"Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]","Population, total [SP.POP.TOTL]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]",Net migration [SM.POP.NETM]
2000,YR2000,Cayman Islands,CYM,15.4,..,..,..,4.55063524723776,..,..,42305,..,..,..
2000,YR2000,Central African Republic,CAF,41.347,44.19,42.727,45.689,2.28954049932016,1845398,1795023,3640421,49.3081157371634,50.6918842628366,..
2000,YR2000,Central Europe and the Baltics,CEB,9.77092743419176,72.719724722779,68.857485134919,76.7868746548091,-0.562187468913606,55949119,52498705,108447824,48.4091822165343,51.5908177834657,..
2000,YR2000,Chad,TCD,50.941,47.713,46.534,48.906,3.68276824966571,4196724,4158930,8355654,49.7738417603218,50.2261582396782,..
2000,YR2000,Channel Islands,CHI,11.991,79.037,76.587,81.356,0.598666616798958,76142,72297,148439,48.7048551930423,51.2951448069577,..
2000,YR2000,Chile,CHL,16.556,76.366,73.235,79.364,1.17718527887184,7794185,7548165,15342350,49.1982323438065,50.8017676561935,..
2000,YR2000,China,CHN,14.03,71.397,69.595,73.405,0.787956592953992,614775825,647869175,1262645000,51.3104771956639,48.6895228043361,..
2000,YR2000,Colombia,COL,22.256,72.945,69.594,76.294,1.60375190216718,20202658,19427307,39629965,49.0217616896709,50.9782383103291,..
2000,YR2000,Comoros,COM,37.497,59.46,57.895,61.06,2.521578955574,269505,272853,542358,50.3086522186453,49.6913477813548,..
2000,YR2000,"Congo, Dem. Rep.",COD,45.965,50.041,48.598,51.478,2.55044047257434,23746689,23359141,47105830,49.5886411512121,50.4113588487879,..
2000,YR2000,"Congo, Rep.",COG,38.554,52.123,50.751,53.416,2.88667906160985,1584091,1543329,3127420,49.3483126666709,50.6516873333291,..
2000,YR2000,Costa Rica,CRI,19.335,77.452,75.13,79.83,1.96089336581932,1973722,1988647,3962369,50.1883343020299,49.8116656979701,..
2000,YR2000,Cote d'Ivoire,CIV,41.069,49.635,48.107,51.476,2.59862544874687,7975896,8478764,16454660,51.5280412965081,48.4719587034919,..
2000,YR2000,Croatia,HRV,9.8,72.8078048780488,69.12,76.68,-0.986434858645568,2317290,2151012,4468302,48.1393607831846,51.8606392168154,..
2000,YR2000,Cuba,CUB,13.069,76.699,74.776,78.693,0.375938667511143,5579325,5547098,11126423,49.8551780747505,50.1448219252495,..
2000,YR2000,Curacao,CUW,..,..,..,..,-4.07538613162288,71010,62850,133860,46.9522577130014,53.0477422869986,..
2000,YR2000,Cyprus,CYP,13.2,78.009,75.933,80.106,1.84444952643905,467861,475427,943288,50.4010440077686,49.5989559922314,..
2000,YR2000,Czech Republic,CZE,8.9,74.9682926829268,71.7,78.4,-0.280414108078884,5266235,4988828,10255063,48.6474590193728,51.3525409806272,..
2000,YR2000,Denmark,DNK,12.6,76.5926829268293,74.3,79,0.334233618829261,2697501,2642115,5339616,49.481370450641,50.518629549359,..
2000,YR2000,Djibouti,DJI,31.48,57.022,55.484,58.613,2.48384960779453,356818,360759,717577,50.2746046765713,49.7253953234287,..
2000,YR2000,Dominica,DMA,..,..,..,..,-0.255237523671842,..,..,69650,..,..,..
2000,YR2000,Dominican Republic,DOM,24.771,69.429,66.65,72.483,1.52286032602447,4226670,4244647,8471317,50.1061051073877,49.8938948926123,..
2000,YR2000,Early-demographic dividend,EAR,26.7018990830557,64.4030772420034,62.9740986420516,65.9305916739076,1.82189666735921,1212308413,1260544403,2472852816,50.9753105795884,49.0246894204116,..
2000,YR2000,East Asia & Pacific,EAS,15.8364300192534,71.1719187711374,68.9762502146455,73.5446119499018,0.936083645070823,1009397969,1038037268,2047640091,50.6993945376357,49.3006054623643,..
2000,YR2000,East Asia & Pacific (excluding high income),EAP,16.4359016504115,70.1361732509009,68.0979058462173,72.3453610466349,0.990543466849942,892916011,923421827,1816455800,50.8397616053622,49.1602383946378,..
2000,YR2000,East Asia & Pacific (IDA & IBRD countries),TEA,16.4162291382772,70.1984151714155,68.1826464485489,72.3904153989512,0.99207976020918,881164661,912244099,1793498345,50.8664906257729,49.1335093742271,..
2000,YR2000,Ecuador,ECU,25.503,72.761,69.976,75.696,1.90279030523638,6315964,6365159,12681123,50.193969414223,49.806030585777,..
2000,YR2000,"Egypt, Arab Rep.",EGY,25.958,68.602,66.241,71.053,1.93038262324663,34181137,34650424,68831561,50.3408952181108,49.6591047818892,..
2000,YR2000,El Salvador,SLV,24.931,68.875,64.357,73.378,0.734629859038728,3051738,2836192,5887930,48.1695944075422,51.8304055924578,..
2000,YR2000,Equatorial Guinea,GNQ,41.136,53.279,52.03,54.618,4.11103855461091,291757,314423,606180,51.8695766933914,48.1304233066086,..
2000,YR2000,Eritrea,ERI,32.518,55.273,53.427,57.195,2.42851338074409,1151345,1141068,2292413,49.7758475457956,50.2241524542044,..
2000,YR2000,Estonia,EST,9.4,70.4170731707317,65.1,76,0.483707161729931,745418,651567,1396985,46.6409741614497,53.3590258385503,..
2000,YR2000,Eswatini,SWZ,32.318,47.49,44.5,50.678,1.13297439995452,521949,483483,1005432,48.0870909221111,51.9129090778889,..
2000,YR2000,Ethiopia,ETH,43.728,51.941,50.588,53.348,2.88268786967519,33205382,33019427,66224809,49.8596032190897,50.1403967809103,..
2000,YR2000,Euro area,EMU,10.6280748618124,78.2750703806688,75.0944333800174,81.6223151196008,0.3284523957213,164860643,156450146,321310789,48.6912206802773,51.3087793197227,..
2000,YR2000,Europe & Central Asia,ECS,11.8645265942946,73.0293742027503,69.1763372710216,77.1487999283841,0.111378330744174,444130406,415070522,861270071,48.308900225344,51.691099774656,..
2000,YR2000,Europe & Central Asia (excluding high income),ECA,13.3121852210318,67.5576719369373,62.6968083182746,72.7205481105396,0.0229889454486312,203309734,186568427,391578161,47.8530072384683,52.1469927615317,..
2000,YR2000,Europe & Central Asia (IDA & IBRD countries),TEC,12.9754656306056,68.1570720118215,63.390947035462,73.2225270545998,-0.081888638601896,225312167,207292925,434305092,47.9173562382732,52.0826437617268,..
